R000237/S002950/P025075	بر اساس یک گزارش پزشکی تعداد بیماران ایدز در هند هر چهارده ماه دو برابر می‌شود	B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N E | AH E Y D Z | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | D O | B A R AA B A R | M I SH A V A D	SIL | B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N | AH E Y D Z | SIL | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | SIL | D O | B A R AA B A R | SIL | M I SH A V A D
R000450/S005692/P049703	هدف عمل هم‌بستگی نمایش قدرت اقلیت ملی است که از طریق پافشاری و اصرار بر یک خواسته مشخص تحقق می‌یابد	H A D A F E | AH A M A L E | H A M B A S T E G I | N A M AA Y E SH E | Q O D R A T E | AH A Q A L L I Y Y A T E | M E L L I | AH A S T | K E | AH A Z | T A R I Q E | P AA F E SH AA R I | V A | AH E S R AA R | B A R | Y E K | KH AA S T E Y E | M O SH A KH KH A S | T A H A Q Q O Q | M I Y AA B A D	SIL | H A D A F E | AH A M A L E | H A M B A S T E G I | SIL | N A M AA Y E SH E | Q O D R A T E | AH A Q A L L I Y Y A T E | M E L L I | AH A S T | SIL | K E H | AH A Z | T A R I Q E | P AA F E SH AA R I | V A | AH E S R AA R | B A R | Y E K | KH AA S T E Y E | M O SH A KH KH A S | SIL | T A H A Q Q O Q | M I Y AA B A D
R000450/S005692/P049704	برای نخستین بار در کشور و با انجام مطالعات ژئوفیزیکی در اطراف اثر جهانی چغازنبیل در استان خوزستان یافته‌های جدیدی در این محوطه باستانی آشکار شد	B A R AA Y E | N O KH O S T I N | B AA R | D A R | K E SH V A R | V A | B AA | AH A N J AA M E | M O T AA L E AH AA T E | ZH E AH O F I Z I K I | D A R | AH A T R AA F E | AH A S A R E | J A H AA N I Y E | CH O Q AA Z A N B I L | D A R | AH O S T AA N E | KH U Z E S T AA N | Y AA F T E H AA Y E | J A D I D I | D A R | AH I N | M O H A V V A T E Y E | B AA S T AA N I | AH AA SH K AA R | SH O D	SIL | B A R AA Y E | N O KH O S T I N | B AA R | D A R | K E SH V A R | SIL | V AA V | B AA | AH A N J AA M E | M O T AA L E AH AA T E | ZH E AH O F I Z I K I | SIL | D A R | AH A T R AA F E | AH A S A R E | J A H AA N I Y E | CH O Q AA Z A N B I L | D A R | AH O S T AA N E | KH U Z E S T AA N | SIL | Y AA F T E H AA Y E | J A D I D I | D A R | AH I N | M O H A V V A T E Y E | B AA S T AA N I | SIL | AH AA SH K AA R | SH O D | SIL
R000450/S005692/P049705	درحالی‌که مهم‌ترین هدف برگزاری مسابقه‌های ورزشی ایجاد وحدت و دوستی است انجام چنین حرکات ناشایست غیرورزشی جای تأسف دارد	D A R H AA L I K E | M O H E M T A R I N | H A D A F E | B A R G O Z AA R I Y E | M O S AA B E Q E H AA Y E | V A R Z E SH I | AH I J AA D E | V A H D A T | V A | D U S T I | AH A S T | AH A N J AA M E | CH E N I N | H A R E K AA T E | N AA SH AA Y E S T E | Q E Y R E V A R Z E SH I | J AA Y E | T A AH A S S O F | D AA R A D	SIL | D A R H AA L I K E | M O H E M T A R I N | H A D A F E | B A R G O Z AA R I | M O S AA B E Q E H AA Y E | V A R Z E SH I | SIL | AH I J AA D E | V A H D A T | V A | D U S T I | AH A S T | SIL | AH A N J AA M E | CH E N I N | H A R E K AA T E | N AA SH AA Y E S T E | Q E Y R E V A R Z E SH I | J AA Y E | T A AH A S S O F | D AA R A D
R000450/S005692/P049706	نقل این گفتگوها نشان می‌دهد که گزارشگری دقیق در صحنه حاضر بوده و آنچه را رخ داده به قلم آورده است	N A Q L E | AH I N | G O F T E G U H AA | N E SH AA N | M I D A H A D | K E | G O Z AA R E SH G A R I | D A Q I Q | D A R | S A H N E | H AA Z E R | B U D E | V A | AH AA N CH E | R AA | R O KH | D AA D E | B E | Q A L A M | AH AA V A R D E | AH A S T	SIL | N A Q L E | AH I N | G O F T O G U H AA | N E SH AA N | M I D A H A D | K E H | SIL | G O Z AA R E SH G A R I | SIL | D A Q I Q | SIL | D A R | S A H N E | H AA Z E R | B U D E | SIL | V A | AH AA N CH E | R AA | R O KH | D AA D E | B E | Q A L A M | SIL | AH AA V A R D E | AH A S T | SIL
R000450/S005693/P049707	به گزارش خبرگزاری فرانسه از نیویورک روز سه‌شنبه نیز هر بشکه نفت پنجاه و هفت سنت افزایش یافته و به بیست و پنج هفتاد دلار رسیده بود	B E | G O Z AA R E SH E | KH A B A R G O Z AA R I Y E | F A R AA N S E | AH A Z | N I Y O Y O R K | R U Z E | S E SH A N B E | N I Z | H A R | B O SH K E | N A F T | P A N J AA H | V A | H A F T | S O N N A T | AH A F Z AA Y E SH | Y AA F T E | V A | B E | B I S T | V A | P A N J | H A F T AA D | D O L AA R | R E S I D E | B U D	SIL | B E | G O Z AA R E SH E | KH A B A R G O Z AA R I | F A R AA N S E | AH A Z | N I Y O Y O R K | SIL | R U Z E | S E SH A N B E | N I Z | H A R | B O SH K E | N A F T | SIL | P A N J AA H | AH O | H A F T | S E N T | AH A F Z AA Y E SH | Y AA F T E | SIL | V AA V | B E | B I S T | V E | SIL | P A N J | SIL | H A F T AA D | SIL | D O L AA R | R E S I D E | B U D | SIL
R000450/S005693/P049708	عبدالستار وزیر خارجه پاکستان دیروز گفت که ما تمام تلاش خود را برای بازسازی و تقویت اعتماد متقابل و توسعه همکاری با جمهوری اسلامی به کار خواهیم بست	AH A B D O L S A T T AA R | V A Z I R E | KH AA R E J E Y E | P AA K E S T AA N | D I R U Z | G O F T | K E | M AA | T A M AA M E | T A L AA SH E | KH O D | R AA | B A R AA Y E | B AA Z S AA Z I | V A | T A Q V I Y A T E | AH E AH T E M AA D E | M O T A Q AA B E L | V A | T O S E AH E Y E | H A M K AA R I | B AA | J O M H U R I Y E | AH E S L AA M I | B E | K AA R | KH AA H I M | B A S T	SIL | AH A B D O S S A T AA R | V A Z I R E | KH AA R E J E | P AA K E S T AA N | D I R U Z | G O F T | K E | M AA | T A M AA M E | T A L AA SH E | KH O D | R AA | SIL | B A R AA Y E | B AA Z S AA Z I | V A | T A Q V I Y A T | AH E AH T E M AA D E | M O T E Q AA B E L | V A | T O S E AH E Y E | H A M K AA R I | SIL | B AA | J O M H U R I | AH E S L AA M I | B E | K AA R | KH AA H I M | B A S T
R000450/S005693/P049709	واقعاً همه خصوصیات او مشمول و منشأ سلام و برکت الهی است	V AA Q E AH A N | H A M E Y E | KH O S U S I Y Y AA T E | AH U | M A SH M U L | V A | M A N SH A AH E | S A L AA M | V A | B A R E K A T E | AH E L AA H I | AH A S T	SIL | V AA Q E AH A N | SIL | H A M E Y E | KH O S U S I Y Y AA T | AH U | SIL | M A SH M U L | V E | SIL | M A N SH A AH E | S A L AA M | AH O | B A R E K A T | AH E L AA H I | AH A S T
R000450/S005693/P049710	در راستای این احترام است که نگارگران به موضوعات خاص مذهبی نپرداخته‌اند	D A R | R AA S T AA Y E | AH I N | AH E H T E R AA M | AH A S T | K E | N E G AA R G A R AA N | B E | M O Z U AH AA T E | KH AA S S E | M A Z H A B I | N A P A R D AA KH T E AH A N D	SIL | D A R | R AA S T AA Y E | AH I N | AH E H T E R AA M | AH A S T | K E | N E G AA R G A R AA N | B E | M O Z U AH AA T E | KH AA S S E | M A Z H A B I | N A P A R D AA KH T E AH A N D
R000450/S005693/P049711	ما باید خود را کوچک‌تر از آن بدانیم که فکر کنیم ما نباشیم و یا دوستان ما نباشند یعنی نابودی انقلاب و یا کشور	M AA | B AA Y A D | KH O D | R AA | K U CH A K T A R | AH A Z | AH AA N | B E D AA N I M | K E | F E K R | K O N I M | M AA | N A B AA SH I M | V A | Y AA | D U S T AA N E | M AA | N A B AA SH A N D | Y A AH N I | N AA B U D I | AH E N Q E L AA B | V A | Y AA | K E SH V A R	SIL | M AA | B AA Y A D | KH O D | R AA | K U CH A K T A R | AH A Z | AH AA N | B E D AA N I M | K E | F E K R | K O N I M | SIL | M AA | N A B AA SH I M | V A | Y AA | D U S T AA N E | M AA | N A B AA SH A N D | Y A AH N I | N AA B U D I | AH E N Q E L AA B | V A | Y AA | K E SH V A R | SIL
R000450/S005693/P049712	برخی چیزها را به سادگی نمی‌توان گفت یا شنیدن آنها آسان نیست	B A R KH I | CH I Z H AA | R AA | B E | S AA D E G I | N E M I T A V AA N | G O F T | Y AA | SH E N I D A N E | AH AA N H AA | AH AA S AA N | N I S T	SIL | B A R KH I | CH I Z H AA | R AA | B E | S AA D E G I | N E M I T A V AA N | G O F T | Y AA | SH E N I D A N E | AH AA N H AA | AH AA S AA N | N I S T
R000450/S005693/P049713	در مسیر جریان دسته شخص تنه پاها و لایه سطح زمین پست از طریق مسیر سیستم زمین به دسته واقع می‌شوند	D A R | M A S I R E | J A R Y AA N | D A S T E Y E | SH A KH S | T A N E | P AA H AA | V A | L AA Y E Y E | S A T H E | Z A M I N | P O S T | AH A Z | T A R I Q E | M A S I R E | S I S T E M E | Z A M I N | B E | D A S T E | V AA Q E AH | M I SH A V A N D	SIL | D A R | M A S I R E | J A R Y AA N E | D A S T E Y E | SH A KH S | SIL | T A N E | SIL | P AA H AA | V A | L AA Y E Y E | S A T H E | Z A M I N E | P A S T | SIL | AH A Z | T A R I Q E | M A S I R E | S I S T E M E | Z A M I N | B E | D A S T E | V AA Q E AH E | M I SH A V A N D | SIL
R000450/S005693/P049714	ویژگی‌های سبک و ساختار فیلم‌ها از نظر آنتونیونی تکنیک در سینما لازم است اما نباید تماشاگران را آزار بدهد	V I ZH E G I H AA Y E | S A B K | V A | S AA KH T AA R E | F I L M H AA | AH A Z | N A Z A R E | AH AA N T O N I Y U N I | T E K N I K | D A R | S I N E M AA | L AA Z E M | AH A S T | AH A M M AA | N A B AA Y A D | T A M AA SH AA G A R AA N | R AA | AH AA Z AA R | B E D A H A D	SIL | V I ZH E G I H AA Y E | S A B K | AH O | S AA KH T AA R E | F I L M H AA | SIL | AH A Z | N A Z A R E | SIL | AH AA N T O N I Y U N I | SIL | T E K N I K | D A R | S I N A M AA | L AA Z E M | AH A S T | SIL | AH A M M AA | N A B AA Y A D | T A M AA SH AA G A R AA N | R AA | AH AA Z AA R | B E D A H A D | SIL
R000450/S005694/P049715	حداکثر درجه حرارت در تابستان سی درجه سانتی‌گراد و حداقل درجه حرارت زمستان سه یا چهار درجه زیر صفر است	H A D D E AH A K S A R E | D A R A J E Y E | H A R AA R A T | D A R | T AA B E S T AA N | S I | D A R A J E Y E | S AA N T I G E R AA D | V A | H A D D E AH A Q A L L E | D A R A J E Y E | H A R AA R A T E | Z E M E S T AA N | S E | Y AA | CH AA H AA R | D A R A J E | Z I R E | S E F R | AH A S T	SIL | H A D D E AH A K S A R E | D A R A J E | H A R AA R A T | D A R | T AA B E S T AA N | SIL | S I | D A R A J E Y E | S AA N T I G E R AA D | SIL | V A | H A D D E AH A Q A L L E | D A R A J E | H A R AA R A T E | Z E M E S T AA N E | S E | Y AA | CH AA H AA R | D A R A J E | Z I R E | S E F R E | AH A S T | SIL
R000450/S005694/P049716	شورای اسلامی خوانسار قطعه زمینی را برای ساختمان کانون بازنشستگان این شهرستان اختصاص داد	SH O R AA Y E | AH E S L AA M I Y E | KH AA N S AA R E | Q E T AH E Y E | Z A M I N I | R AA | B A R AA Y E | S AA KH T E M AA N E | K AA N U N E | B AA Z N E SH A S T E G AA N E | AH I N | SH A H R E S T AA N | AH E KH T E S AA S | D AA D	SIL | SH O R AA Y E | AH E S L AA M I Y E | KH AA N S AA R | Q A T AH E | Z A M I N I | R AA | SIL | B A R AA Y E | S AA KH T E M AA N E | K AA N U N E | B AA Z N E SH A S T E G AA N | AH I N | SH A H R E S T AA N | SIL | AH E KH T E S AA S | D AA D | SIL
R000450/S005694/P049717	سازمان ملل همچنین نقش مهمی در حفظ استقلال یونان بازی کرد و بر ضد تجاوز به جمهوری کره مقاومت نمود	S AA Z M AA N E | M E L A L | H A M CH E N I N | N A Q SH E | M O H E M M I | D A R | H E F Z E | AH E S T E Q L AA L E | Y U N AA N | B AA Z I | K A R D | V A | B A R | Z E D D E | T A J AA V O Z | B E | J O M H U R I Y E | K O R E | M O Q AA V E M A T | N E M U D	SIL | S AA Z M AA N E | M E L A L | H A M CH E N I N | N A Q SH E | M O H E M M I | SIL | D A R | H E F Z E | AH E S T E Q L AA L E | Y U N AA N | B AA Z I | K A R D | SIL | V AA V | B A R | Z E D D E | T A J AA V O Z | B E | J O M H U R I Y E | K O R E | M O Q AA V E M A T | N E M U D | SIL
R000450/S005694/P049718	پشتت را لگدکوب کرده‌اند	P O SH T A T | R AA | L A G A D K U B | K A R D E AH A N D	SIL | P O SH T A T | R AA | L A G A D K U B | K A R D E AH A N D | SIL
R000450/S005694/P049719	دیدگاه‌های روزه درباره کشمکش‌های جهانی و محلی روشنگر هستند زیرا وی این تنش‌ها را برخاسته از ناسازگاری‌های ذاتی بین این دو پدیده نمی‌داند	D I D G AA H H AA Y E | R U Z E | D A R B AA R E Y E | K E SH M A K E SH H AA Y E | J A H AA N I | V A | M A H A L L I | R O SH A N G A R | H A S T A N D | Z I R AA | V E Y | AH I N | T A N E SH H AA | R AA | B A R KH AA S T E | AH A Z | N AA S AA Z E G AA R I H AA Y E | Z AA T I Y E | B E Y N E | AH I N | D O | P A D I D E | N E M I D AA N A D	SIL | D I D G AA H H AA Y E | R U Z E | D A R B AA R E Y E | K E SH M A K E SH H AA Y E | J A H AA N I | SIL | V A | M A H A L L I | SIL | R O SH A N G A R | H A S T A N D | Z I R AA | V E Y | SIL | AH I N | T A N E SH H AA | R AA | SIL | B A R KH AA S T E | AH A Z | N AA S AA Z G AA R I H AA Y E | Z AA T I | SIL | B E Y N E | AH I N | D O | P A D I D E | N E M I D AA N A D | SIL
R000450/S005694/P049720	در الجزیره کسی نیست که ناظر بر فعالیت‌های خبری و کنترل‌کننده امور باشد	D A R | AH A L J A Z I R E | K A S I | N I S T | K E | N AA Z E R | B A R | F A AH AH AA L I Y Y A T H AA Y E | KH A B A R I | V A | K O N T O R O L K O N A N D E Y E | AH O M U R | B AA SH A D	SIL | D A R | AH A L J A Z I R E | K A S I | N I S T | K E | N AA Z E R | B A R | F A AH AH AA L I Y Y A T H AA Y E | KH A B A R I | SIL | V A | K O N T O R O L K O N A N D E Y E | AH O M U R | B AA SH A D
R000450/S005694/P049721	می‌دانید یعنی آدم‌ها نمی‌توانند نجاتگر باشند	M I D AA N I D | Y A AH N I | AH AA D A M H AA | N E M I T A V AA N A N D | N E J AA T G A R | B AA SH A N D	SIL | M I D AA N I D | Y A AH N I | AH AA D A M H AA | N E M I T A V AA N A N D | N E J AA T G A R | B AA SH A N D | SIL
R000450/S005694/P049722	مجلس منتخب در حال حاضر آماده است با استفاده از سازوکارهای قانونی دولت اصلاحات را یاری رساند	M A J L E S E | M O N T A KH A B | D A R | H AA L E | H AA Z E R | AH AA M AA D E | AH A S T | B AA | AH E S T E F AA D E | AH A Z | S AA Z O K AA R H AA Y E | Q AA N U N I | D O L A T E | AH E S L AA H AA T | R AA | Y AA R I | R E S AA N D	SIL | M A J L E S E | M O N T A KH A B | D A R | H AA L E | H AA Z E R | AH AA M AA D E | AH A S T | B AA | AH E S T E F AA D E | AH A Z | S AA Z O K AA R H AA Y E | Q AA N U N I | SIL | D O L A T | AH E S L AA H AA T | R AA | Y AA R I | R E S AA N A D | SIL
R000457/S005747/P071499	بحمدالله ملت ایران به توفیقات زیادی نایل شده است و باز هم توفیقات بیشتری در انتظار اوست	B E H A M D E L L AA H | M E L L A T E | AH I R AA N | B E | T O F I Q AA T E | Z I Y AA D I | N AA Y E L | SH O D E | AH A S T | V A | B AA Z | H A M | T O F I Q AA T E | B I SH T A R I | D A R | AH E N T E Z AA R E | AH U S T	SIL | B E H A M D E L L AA H | M E L L A T | AH I R AA N | SIL | B E | T O F I Q AA T E | Z I Y AA D I | N AA Y E L | SH O D E | AH A S T | SIL | V AA V | B AA Z | H A M M | T O F I Q AA T E | B I SH T A R I | D A R | AH E N T E Z AA R E | AH U S T | SIL
R000457/S005747/P071500	عمارت کهنه قدیم است	AH E M AA R A T E | K O H N E Y E | Q A D I M | AH A S T	SIL | AH E M AA R A T E | K O H N E Y E | Q A D I M | AH A S T | SIL
R000457/S005747/P071501	در خاتمه از مؤمن‌زاده خواستیم که در روز سیزده‌بدر فروردین به صحرا رفته و سبزی بکری را پیدا کرده و به نیت گل‌زنی آن را گره بزند که شاید سال آینده برای تیم استقلال گره‌گشا شود	D A R | KH AA T E M E | AH A Z | M O AH M E N Z AA D E | KH AA S T I M | K E | D A R | R U Z E | S I Z D A H B E D A R E | F A R V A R D I N | B E | S A H R AA | R A F T E | V A | S A B Z I Y E | B E K R I | R AA | P E Y D AA | K A R D E | V A | B E | N I Y Y A T E | G O L Z A N I | AH AA N | R AA | G E R E H | B E Z A N A D | K E | SH AA Y A D | S AA L E | AH AA Y A N D E | B A R AA Y E | T I M E | AH E S T E Q L AA L | G E R E G O SH AA | SH A V A D	SIL | D A R | KH AA T E M E | AH A Z | M O AH M E N Z AA D E | KH AA S T I M | SIL | K E H | D A R | R U Z E | S I Z D A H B E D A R E | F A R V A R D I N | SIL | B E | S A H R AA | R A F T E | SIL | V A | S A B Z I Y E | B E K R I | R AA | P E Y D AA | K A R D E | V AA V | B E | N I Y Y A T E | G O L Z A N I | AH AA N | R AA | SIL | G E R E H | B E Z A N A D | SIL | K E H | SH AA Y A D | S AA L E | AH AA Y A N D E | B A R AA Y E | T I M E | AH E S T E Q L AA L | G E R E H G O SH AA | SH A V A D | SIL
R000457/S005747/P071502	به همین دلیل والدین توجه داشته باشند کودکان را هر سه ماه یک بار مورد معاینه قرار دهند تا از پوسیدگی دندان جلوگیری به عمل آید	B E | H A M I N | D A L I L | V AA L E D E Y N | T A V A J J O H | D AA SH T E | B AA SH A N D | K U D A K AA N | R AA | H A R | S E | M AA H | Y E K | B AA R | M O R E D E | M O AH AA Y E N E | Q A R AA R | D A H A N D | T AA | AH A Z | P U S I D E G I Y E | D A N D AA N | J E L O G I R I | B E | AH A M A L | AH AA Y A D	SIL | B E | H A M I N | D A L I L | V AA L E D E Y N | T A V A J J O H | D AA SH T E | B AA SH A N D | K U D A K AA N | R AA | H A R | S E | M AA H | Y E K | B AA R | SIL | M O R E D E | M O AH AA Y E N E | Q A R AA R | D A H A N D | SIL | T AA | AH A Z | P U S I D E G I Y E | D A N D AA N | SIL | J E L O G I R I | B E | AH A M A L | AH AA Y A D | SIL
R000457/S005747/P071504	به‌هرحال این حالت را می‌بایست از مرگ مغزی جدا کرد	B E H A R H AA L | AH I N | H AA L A T | R AA | M I B AA Y E S T | AH A Z | M A R G E | M A Q Z I | J O D AA | K A R D	SIL | B E H A R H AA L | AH I N | H AA L A T | R AA | M I B AA Y E S T | SIL | AH A Z | M A R G E | M A Q Z I | J O D AA | K A R D | SIL
R000457/S005747/P071505	این کمیسیون همچنین بر اجرای قرارداد آتش‌بس نظارت کرده تضمین‌های لازم را ارائه می‌دهد	AH I N | K O M I S I Y U N | H A M CH E N I N | B A R | AH E J R AA Y E | Q A R AA R D AA D E | AH AA T A SH B A S | N E Z AA R A T | K A R D E | T A Z M I N H AA Y E | L AA Z E M | R AA | AH E R AA AH E | M I D A H A D	SIL | AH I N | K O M I S I Y O N | H A M CH E N I N | B A R | AH E J R AA Y E | Q A R AA R D AA D E | SIL | AH AA T A SH B A S | N E Z AA R A T | K A R D E | SIL | T A Z M I N H AA Y E | L AA Z E M | R AA | AH E R AA AH E | M I D A H A D | SIL
